I,V,T,t,incl,vel
2.779e-06,-0.4284,0.0,0.0,0.0,0.0
2.773e-06,-0.4282,0.0,0.0,0.0,0.0
2.767e-06,-0.4281,0.0,0.0,0.0,0.0
2.757e-06,-0.4279,0.0,0.0,0.0,0.0
2.751e-06,-0.4277,0.0,0.0,0.0,0.0
2.755e-06,-0.4276,0.0,0.0,0.0,0.0
2.742e-06,-0.4274,0.0,0.0,0.0,0.0
2.738e-06,-0.4272,0.0,0.0,0.0,0.0
2.727e-06,-0.4271,0.0,0.0,0.0,0.0
2.719e-06,-0.4269,0.0,0.0,0.0,0.0
2.716e-06,-0.4267,0.0,0.0,0.0,0.0
2.709e-06,-0.4266,0.0,0.0,0.0,0.0
2.704e-06,-0.4264,0.0,0.0,0.0,0.0
2.694e-06,-0.4263,0.0,0.0,0.0,0.0
2.69e-06,-0.4261,0.0,0.0,0.0,0.0
2.68e-06,-0.4259,0.0,0.0,0.0,0.0
2.677e-06,-0.4257,0.0,0.0,0.0,0.0
2.67e-06,-0.4256,0.0,0.0,0.0,0.0
2.66e-06,-0.4254,0.0,0.0,0.0,0.0
2.655e-06,-0.4252,0.0,0.0,0.0,0.0
2.649e-06,-0.4251,0.0,0.0,0.0,0.0
2.64e-06,-0.4249,0.0,0.0,0.0,0.0
2.635e-06,-0.4247,0.0,0.0,0.0,0.0
2.627e-06,-0.4246,0.0,0.0,0.0,0.0
2.62e-06,-0.4244,0.0,0.0,0.0,0.0
2.615e-06,-0.4242,0.0,0.0,0.0,0.0
2.611e-06,-0.4241,0.0,0.0,0.0,0.0
2.601e-06,-0.4239,0.0,0.0,0.0,0.0
2.598e-06,-0.4237,0.0,0.0,0.0,0.0
2.589e-06,-0.4236,0.0,0.0,0.0,0.0
2.582e-06,-0.4234,0.0,0.0,0.0,0.0
2.577e-06,-0.4233,0.0,0.0,0.0,0.0
2.572e-06,-0.4231,0.0,0.0,0.0,0.0
2.565e-06,-0.4229,0.0,0.0,0.0,0.0
2.559e-06,-0.4227,0.0,0.0,0.0,0.0
2.555e-06,-0.4226,0.0,0.0,0.0,0.0
2.545e-06,-0.4224,0.0,0.0,0.0,0.0
2.54e-06,-0.4222,0.0,0.0,0.0,0.0
2.536e-06,-0.4221,0.0,0.0,0.0,0.0
2.531e-06,-0.4219,0.0,0.0,0.0,0.0
2.522e-06,-0.4217,0.0,0.0,0.0,0.0
2.517e-06,-0.4216,0.0,0.0,0.0,0.0
2.512e-06,-0.4214,0.0,0.0,0.0,0.0
2.507e-06,-0.4212,0.0,0.0,0.0,0.0
2.5e-06,-0.4211,0.0,0.0,0.0,0.0
2.491e-06,-0.4209,0.0,0.0,0.0,0.0
2.486e-06,-0.4207,0.0,0.0,0.0,0.0
2.484e-06,-0.4206,0.0,0.0,0.0,0.0
2.472e-06,-0.4204,0.0,0.0,0.0,0.0
2.468e-06,-0.4202,0.0,0.0,0.0,0.0
2.463e-06,-0.4201,0.0,0.0,0.0,0.0
2.457e-06,-0.4199,0.0,0.0,0.0,0.0
2.449e-06,-0.4197,0.0,0.0,0.0,0.0
2.443e-06,-0.4196,0.0,0.0,0.0,0.0
2.436e-06,-0.4194,0.0,0.0,0.0,0.0
2.43e-06,-0.4192,0.0,0.0,0.0,0.0
2.427e-06,-0.4191,0.0,0.0,0.0,0.0
2.423e-06,-0.4189,0.0,0.0,0.0,0.0
2.418e-06,-0.4188,0.0,0.0,0.0,0.0
2.412e-06,-0.4186,0.0,0.0,0.0,0.0
2.402e-06,-0.4184,0.0,0.0,0.0,0.0
2.399e-06,-0.4183,0.0,0.0,0.0,0.0
2.393e-06,-0.4181,0.0,0.0,0.0,0.0
2.387e-06,-0.4179,0.0,0.0,0.0,0.0
2.382e-06,-0.4178,0.0,0.0,0.0,0.0
2.375e-06,-0.4176,0.0,0.0,0.0,0.0
2.37e-06,-0.4174,0.0,0.0,0.0,0.0
2.363e-06,-0.4173,0.0,0.0,0.0,0.0
2.357e-06,-0.4171,0.0,0.0,0.0,0.0
2.354e-06,-0.4169,0.0,0.0,0.0,0.0
2.348e-06,-0.4168,0.0,0.0,0.0,0.0
2.342e-06,-0.4166,0.0,0.0,0.0,0.0
2.334e-06,-0.4164,0.0,0.0,0.0,0.0
2.33e-06,-0.4163,0.0,0.0,0.0,0.0
2.324e-06,-0.4161,0.0,0.0,0.0,0.0
2.323e-06,-0.4159,0.0,0.0,0.0,0.0
2.314e-06,-0.4158,0.0,0.0,0.0,0.0
2.308e-06,-0.4156,0.0,0.0,0.0,0.0
2.303e-06,-0.4154,0.0,0.0,0.0,0.0
2.299e-06,-0.4153,0.0,0.0,0.0,0.0
2.295e-06,-0.4151,0.0,0.0,0.0,0.0
2.287e-06,-0.4149,0.0,0.0,0.0,0.0
2.285e-06,-0.4148,0.0,0.0,0.0,0.0
2.278e-06,-0.4146,0.0,0.0,0.0,0.0
2.268e-06,-0.4144,0.0,0.0,0.0,0.0
2.266e-06,-0.4143,0.0,0.0,0.0,0.0
2.263e-06,-0.4141,0.0,0.0,0.0,0.0
2.252e-06,-0.4139,0.0,0.0,0.0,0.0
2.252e-06,-0.4138,0.0,0.0,0.0,0.0
2.248e-06,-0.4136,0.0,0.0,0.0,0.0
2.239e-06,-0.4134,0.0,0.0,0.0,0.0
2.237e-06,-0.4133,0.0,0.0,0.0,0.0
2.229e-06,-0.4131,0.0,0.0,0.0,0.0
2.224e-06,-0.4129,0.0,0.0,0.0,0.0
2.22e-06,-0.4128,0.0,0.0,0.0,0.0
2.217e-06,-0.4126,0.0,0.0,0.0,0.0
2.209e-06,-0.4124,0.0,0.0,0.0,0.0
2.202e-06,-0.4123,0.0,0.0,0.0,0.0
2.2e-06,-0.4121,0.0,0.0,0.0,0.0
2.194e-06,-0.4119,0.0,0.0,0.0,0.0
2.189e-06,-0.4118,0.0,0.0,0.0,0.0
2.183e-06,-0.4116,0.0,0.0,0.0,0.0
2.178e-06,-0.4114,0.0,0.0,0.0,0.0
2.177e-06,-0.4113,0.0,0.0,0.0,0.0
2.166e-06,-0.4111,0.0,0.0,0.0,0.0
2.162e-06,-0.4109,0.0,0.0,0.0,0.0
2.16e-06,-0.4108,0.0,0.0,0.0,0.0
2.156e-06,-0.4106,0.0,0.0,0.0,0.0
2.145e-06,-0.4104,0.0,0.0,0.0,0.0
2.142e-06,-0.4103,0.0,0.0,0.0,0.0
2.142e-06,-0.4101,0.0,0.0,0.0,0.0
2.132e-06,-0.4099,0.0,0.0,0.0,0.0
2.126e-06,-0.4098,0.0,0.0,0.0,0.0
2.124e-06,-0.4096,0.0,0.0,0.0,0.0
2.117e-06,-0.4094,0.0,0.0,0.0,0.0
2.112e-06,-0.4093,0.0,0.0,0.0,0.0
2.111e-06,-0.4091,0.0,0.0,0.0,0.0
2.102e-06,-0.4089,0.0,0.0,0.0,0.0
2.099e-06,-0.4088,0.0,0.0,0.0,0.0
2.091e-06,-0.4086,0.0,0.0,0.0,0.0
2.087e-06,-0.4084,0.0,0.0,0.0,0.0
2.084e-06,-0.4083,0.0,0.0,0.0,0.0
2.086e-06,-0.4081,0.0,0.0,0.0,0.0
2.074e-06,-0.4079,0.0,0.0,0.0,0.0
2.068e-06,-0.4078,0.0,0.0,0.0,0.0
2.068e-06,-0.4076,0.0,0.0,0.0,0.0
2.06e-06,-0.4075,0.0,0.0,0.0,0.0
2.055e-06,-0.4073,0.0,0.0,0.0,0.0
2.049e-06,-0.4072,0.0,0.0,0.0,0.0
2.046e-06,-0.4069,0.0,0.0,0.0,0.0
2.043e-06,-0.4068,0.0,0.0,0.0,0.0
2.036e-06,-0.4066,0.0,0.0,0.0,0.0
2.03e-06,-0.4064,0.0,0.0,0.0,0.0
2.027e-06,-0.4063,0.0,0.0,0.0,0.0
2.022e-06,-0.4061,0.0,0.0,0.0,0.0
2.017e-06,-0.4059,0.0,0.0,0.0,0.0
2.014e-06,-0.4058,0.0,0.0,0.0,0.0
2.007e-06,-0.4056,0.0,0.0,0.0,0.0
1.999e-06,-0.4054,0.0,0.0,0.0,0.0
1.999e-06,-0.4053,0.0,0.0,0.0,0.0
1.993e-06,-0.4051,0.0,0.0,0.0,0.0
1.987e-06,-0.4049,0.0,0.0,0.0,0.0
1.983e-06,-0.4048,0.0,0.0,0.0,0.0
1.982e-06,-0.4046,0.0,0.0,0.0,0.0
1.976e-06,-0.4044,0.0,0.0,0.0,0.0
1.971e-06,-0.4043,0.0,0.0,0.0,0.0
1.966e-06,-0.4042,0.0,0.0,0.0,0.0
1.961e-06,-0.404,0.0,0.0,0.0,0.0
1.959e-06,-0.4038,0.0,0.0,0.0,0.0
1.957e-06,-0.4037,0.0,0.0,0.0,0.0
1.946e-06,-0.4035,0.0,0.0,0.0,0.0
1.946e-06,-0.4033,0.0,0.0,0.0,0.0
1.94e-06,-0.4032,0.0,0.0,0.0,0.0
1.934e-06,-0.403,0.0,0.0,0.0,0.0
1.932e-06,-0.4028,0.0,0.0,0.0,0.0
1.927e-06,-0.4027,0.0,0.0,0.0,0.0
1.922e-06,-0.4025,0.0,0.0,0.0,0.0
1.917e-06,-0.4023,0.0,0.0,0.0,0.0
1.915e-06,-0.4022,0.0,0.0,0.0,0.0
1.908e-06,-0.402,0.0,0.0,0.0,0.0
1.905e-06,-0.4018,0.0,0.0,0.0,0.0
1.899e-06,-0.4017,0.0,0.0,0.0,0.0
1.895e-06,-0.4015,0.0,0.0,0.0,0.0
1.89e-06,-0.4013,0.0,0.0,0.0,0.0
1.887e-06,-0.4012,0.0,0.0,0.0,0.0
1.879e-06,-0.401,0.0,0.0,0.0,0.0
1.878e-06,-0.4008,0.0,0.0,0.0,0.0
1.875e-06,-0.4007,0.0,0.0,0.0,0.0
1.869e-06,-0.4005,0.0,0.0,0.0,0.0
1.866e-06,-0.4003,0.0,0.0,0.0,0.0
1.859e-06,-0.4002,0.0,0.0,0.0,0.0
1.859e-06,-0.4,0.0,0.0,0.0,0.0
1.852e-06,-0.3998,0.0,0.0,0.0,0.0
1.852e-06,-0.3997,0.0,0.0,0.0,0.0
1.84e-06,-0.3995,0.0,0.0,0.0,0.0
1.839e-06,-0.3993,0.0,0.0,0.0,0.0
1.836e-06,-0.3992,0.0,0.0,0.0,0.0
1.829e-06,-0.399,0.0,0.0,0.0,0.0
1.826e-06,-0.3988,0.0,0.0,0.0,0.0
1.825e-06,-0.3987,0.0,0.0,0.0,0.0
1.817e-06,-0.3985,0.0,0.0,0.0,0.0
1.815e-06,-0.3983,0.0,0.0,0.0,0.0
1.809e-06,-0.3981,0.0,0.0,0.0,0.0
1.805e-06,-0.398,0.0,0.0,0.0,0.0
1.801e-06,-0.3978,0.0,0.0,0.0,0.0
1.8e-06,-0.3977,0.0,0.0,0.0,0.0
1.792e-06,-0.3975,0.0,0.0,0.0,0.0
1.787e-06,-0.3973,0.0,0.0,0.0,0.0
1.785e-06,-0.3972,0.0,0.0,0.0,0.0
1.78e-06,-0.3969,0.0,0.0,0.0,0.0
